date,open,high,low,close,change,change_percentage,volume,short_selling,margin_trading,investment_trust,dealer,foreign_invenstor,ma,bband_up,bband_down
2011/4/7,73,73,72.3,72.8,-0.1,-0.14,45215.954,528,35512,1881,1036,12170,70.02,72.9686268,67.0713732
2011/4/8,72.9,73,72.4,72.9,0.1,0.14,65763.831,952,34266,-1632,-1842,31322,70.095,73.24934621,66.94065379
2011/4/11,73,73,70.9,71.1,-1.8,-2.47,62602.112,927,36317,-1383,459,-7517,70.125,73.30548738,66.94451262
2011/4/12,70.5,70.7,70.1,70.1,-1,-1.41,45964.636,1112,37646,-2050,1244,-5835,70.13,73.31,66.95
2011/4/13,70.1,70.8,70,70.7,0.6,0.86,27891.6,1159,37830,-60,1106,2833,70.15,73.33904374,66.96095626
2011/4/14,70.3,70.5,69.6,69.8,-0.9,-1.27,53756.684,1148,39202,-44,1013,-28407,70.24,73.27934203,67.20065797
2011/4/15,70,70,69.1,69.2,-0.6,-0.86,52231.57,1048,39409,-190,-705,-18499,70.275,73.24880228,67.30119772
2011/4/18,69.8,69.8,68.8,69,-0.2,-0.29,27185.278,1055,39442,-1018,-1155,-8388,70.355,73.09176817,67.61823183
2011/4/19,68.5,68.5,68,68.1,-0.9,-1.3,42733.182,733,40392,-236,-898,-22632,70.345,73.11301373,67.57698627
2011/4/20,69,69.8,68.5,69.8,1.7,2.5,48244.873,1168,39917,-952,-818,4838,70.385,73.09666001,67.67333999
2011/4/21,70.7,71.3,70.3,70.7,0.9,1.29,50937.217,1371,37387,-914,-867,21876,70.49,73.07681271,67.90318729
2011/4/22,70.9,71,70.3,70.9,0.2,0.28,25371.724,1544,37150,-507,-325,7907,70.6,73.05682722,68.14317278
2011/4/25,71,71.1,70.1,70.3,-0.6,-0.85,22103.592,1274,37316,-693,-519,-5079,70.645,73.04456246,68.24543754
2011/4/26,69.7,70.3,69.1,70.3,0,0,31931.088,1205,37978,-752,196,-7690,70.6,72.98997908,68.21002092
2011/4/27,71.5,72.7,71.5,72.3,2,2.84,59307.601,1624,36113,1545,-930,32172,70.665,73.16321937,68.16678063
2011/4/28,73.4,73.7,72.9,73,0.7,0.97,83614.038,2218,33916,992,-4569,56153,70.775,73.47305485,68.07694515
2011/4/29,73.7,73.9,72.9,73.2,0.2,0.27,93588.212,2548,31705,2870,-3229,53943,70.92,73.80555021,68.03444979
2011/5/3,73.9,74.8,73.6,74.6,1.4,1.91,81669.099,3211,29561,1049,37,57624,71.12,74.41460165,67.82539835
2011/5/4,74.4,74.4,73,73.8,-0.8,-1.07,46678.225,3051,30398,506,935,9352,71.275,74.76204746,67.78795254
2011/5/5,74,74.8,73.6,74.8,1,1.36,45484.174,3232,30397,523,1011,23514,71.37,75.12238591,67.61761409
2011/5/6,75,75.6,74.4,75,0.2,0.27,54111.533,3689,30109,937,661,25798,71.48,75.51217063,67.44782937
2011/5/9,75.6,76.1,75.2,75.5,0.5,0.67,64708.117,3917,29198,331,353,25893,71.61,75.97114664,67.24885336
2011/5/10,75.6,75.6,74.4,74.4,-1.1,-1.46,43355.853,3773,28765,295,-173,10566,71.775,76.29335147,67.25664853
2011/5/11,75.3,75.3,74.6,75,0.6,0.81,43256.281,4089,27729,335,-357,19247,72.02,76.67772477,67.36227523
2011/5/12,74.2,76,74.1,75.7,0.7,0.93,59055.772,4512,27531,1469,-182,23839,72.27,77.1489753,67.3910247
2011/5/13,76,76.1,75.5,75.9,0.2,0.26,40118.462,4825,27000,838,162,5489,72.575,77.55972667,67.59027333
2011/5/16,75.9,75.9,74.7,74.9,-1,-1.32,34105.848,4551,26264,848,180,114,72.86,77.68965837,68.03034163
2011/5/17,74.6,76,74.6,75.6,0.7,0.93,41402.144,4985,25290,-421,-379,3768,73.19,77.81726701,68.56273299
2011/5/18,75.3,75.8,74.9,75.3,-0.3,-0.4,28263.408,4955,24965,44,1284,-4445,73.55,77.62455519,69.47544481
2011/5/19,74.9,76.3,74.9,75.2,-0.1,-0.13,58823.651,5439,23252,309,1241,6535,73.82,77.56731904,70.07268096
2011/5/20,76,76,74.9,75.5,0.3,0.4,33000.08,5951,22707,353,-198,4195,74.06,77.58556378,70.53443622
2011/5/23,74.7,75.5,74.5,75.1,-0.4,-0.53,39033.336,5613,22648,1835,243,-5705,74.27,77.50610877,71.03389123
2011/5/24,74.9,75.1,74.2,74.8,-0.3,-0.4,34788.138,5501,22705,1989,1204,5211,74.495,77.17341371,71.81658629
2011/5/25,74.2,74.9,73.3,74.5,-0.3,-0.4,59580.438,5361,23254,937,427,-18001,74.705,76.56991287,72.84008713
2011/5/26,75,75,74,74.2,-0.3,-0.4,33240.611,5127,23353,1483,326,-3277,74.8,76.32839785,73.27160215
2011/5/27,73.8,74.5,73.8,74,-0.2,-0.27,49929.46,4455,23247,300,995,-13317,74.85,76.19387499,73.50612501
2011/5/30,74,75.3,74,75.1,1.1,1.49,33733.362,4472,23257,292,989,1888,74.945,76.05760955,73.83239045
2011/5/31,75.5,76.9,75.4,76.7,1.6,2.13,62918.492,5120,21904,504,2466,26893,75.05,76.38641311,73.71358689
2011/6/1,76.3,77.3,76.3,77,0.3,0.39,45321.656,5099,21260,2064,493,16176,75.21,76.67,73.75
